Subject,oriperc_dprime,oriperc_criterion,oriperc_metad,oriperc_mratio,oriperc_log_mratio,contrast_dprime,contrast_criterion,contrast_metad,contrast_mratio,contrast_log_mratio,oriwm_dprime,oriwm_criterion,oriwm_metad,oriwm_mratio,oriwm_log_mratio
1,1.544,0.047,0.565,0.369,-1.089,1.694,-0.06,0.919,0.547,-0.655,0.386,-0.216,0.162,0.462,-0.999
2,1.629,-0.139,0.573,0.355,-1.129,1.616,-0.025,1.127,0.704,-0.383,0.69,-0.35,0.468,0.707,-0.478
3,1.907,0.283,0.758,0.401,-0.992,1.714,-0.234,1.475,0.869,-0.162,1.843,-0.077,0.943,0.516,-0.71
4,0.663,-0.258,0.215,0.32,-1.247,2.258,-0.148,0.491,0.22,-1.738,0.847,-0.271,0.179,0.217,-1.75
5,1.694,-0.334,0.199,0.118,-2.381,1.935,0.666,0.406,0.212,-1.661,1.367,-0.383,0.356,0.262,-1.452
6,1.475,-0.414,1.245,0.652,-0.51,1.742,0.093,0.75,0.434,-0.902,1.73,-0.077,1.159,0.675,-0.42
7,2.468,0.583,2.009,0.821,-0.21,1.705,-0.122,1.222,0.722,-0.355,2.07,-0.101,1.934,0.941,-0.075
8,1.803,0.063,1.77,0.99,-0.027,1.705,0.522,0.95,0.563,-0.611,1.922,-0.159,1.727,0.906,-0.117
9,1.429,-0.048,1.393,0.984,-0.042,1.666,-0.252,0.407,0.246,-1.533,1.647,-0.773,0.387,0.238,-1.575
10,1.731,0.122,0.461,0.268,-1.507,1.679,0.182,0.578,0.347,-1.154,1.552,-0.345,0.368,0.24,-1.577
11,1.631,-0.391,0.997,0.618,-0.538,1.719,0.007,0.96,0.565,-0.633,2.339,-0.382,1.666,0.718,-0.35
12,1.19,0.368,0.22,0.187,-1.842,2.126,-0.758,0.752,0.357,-1.087,0.584,0.11,0.247,0.453,-1.029
13,1.823,-0.313,0.879,0.485,-0.778,1.831,-0.308,0.7,0.385,-1.02,2.106,-0.324,1.002,0.48,-0.828
14,1.945,0.094,0.544,0.282,-1.432,0.426,-0.074,0.652,1.788,0.388,1.797,0.035,0.511,0.287,-1.391
15,1.802,0.092,1.17,0.655,-0.463,1.473,0.133,0.26,0.178,-1.897,1.761,-0.04,1.658,0.95,-0.07
16,1.205,-0.301,0.817,0.538,-0.682,1.525,-0.579,1.697,1.128,0.104,2.045,0.182,1.646,0.811,-0.23
17,2.426,0.283,1.114,0.462,-0.81,1.714,-0.052,0.308,0.181,-1.895,1.734,-0.129,1.036,0.603,-0.551
18,1.78,-0.535,0.262,0.148,-2.094,1.672,-0.187,0.285,0.172,-1.966,1.343,-0.304,0.627,0.474,-0.844
19,0.962,-0.512,0.79,0.614,-0.571,1.741,-0.261,0.556,0.321,-1.242,1.046,-0.589,1.071,0.74,-0.398
20,1.789,-0.048,1.206,0.68,-0.417,1.645,-0.071,0.986,0.604,-0.533,1.655,-0.416,1.226,0.749,-0.314
