,Subject,memory_dprime,memory_criterion,memory_metad,memory_mratio,memory_log_mratio,perception_dprime,perception_criterion,perception_metad,perception_mratio,perception_log_mratio,DGI_memory_perception
0,501,0.431,-0.317,0.401,1.049,-0.162,1.25,0.288,1.635,1.345,0.267,0.42900000000000005
1,503,0.965,0.555,1.201,1.284,0.2,1.153,-0.022,1.623,1.442,0.29,0.08999999999999997
2,504,1.517,0.138,4.018,2.436,0.334,1.061,-0.183,0.819,0.791,-0.349,0.683
3,505,0.741,-0.393,0.501,0.716,-0.506,1.157,-0.092,0.741,0.656,-0.522,0.016000000000000014
4,507,0.814,-0.205,0.848,1.087,0.016,1.144,0.473,0.913,0.826,-0.254,0.27
5,508,0.656,0.417,0.904,1.499,0.305,1.466,0.753,1.547,1.094,0.051,0.254
6,509,1.672,-0.447,0.872,0.529,-0.694,1.124,0.014,0.357,0.325,-1.353,0.659
7,510,1.227,0.084,0.901,0.748,-0.357,1.253,0.214,1.167,0.954,-0.096,0.261
8,511,1.427,-0.231,0.909,0.649,-0.491,1.511,0.746,1.339,0.908,-0.164,0.32699999999999996
9,512,1.355,-0.167,0.943,0.71,-0.4,1.01,0.17,1.412,1.453,0.333,0.7330000000000001
10,516,1.861,-0.164,1.207,0.657,-0.536,1.261,0.427,1.212,0.988,-0.06,0.47600000000000003
11,517,1.027,0.223,0.51,0.509,-0.817,1.223,0.146,1.605,1.342,0.268,1.085
12,518,1.28,0.292,1.271,1.015,-0.027,1.027,0.024,0.548,0.554,-0.726,0.699
13,519,0.613,-0.188,0.725,1.268,0.125,1.122,-0.005,1.496,1.372,0.278,0.15300000000000002
14,520,1.914,-0.265,2.616,1.386,0.301,1.2,0.179,1.762,1.506,0.383,0.08200000000000002
15,521,1.029,0.224,0.594,0.592,-0.62,1.197,0.09,0.53,0.452,-0.902,0.28200000000000003
16,522,1.635,-0.108,0.404,0.25,-1.572,1.081,0.079,0.524,0.495,-0.839,0.7330000000000001
17,523,0.818,-0.05,0.661,0.84,-0.345,0.945,0.13,0.517,0.571,-0.756,0.41100000000000003
18,524,1.645,-0.003,0.915,0.563,-0.672,1.09,0.168,1.115,1.054,-0.007,0.665
19,527,1.069,0.168,0.795,0.763,-0.441,1.109,0.001,1.189,1.101,0.03,0.471
20,528,0.945,0.038,0.733,0.801,-0.327,1.08,0.365,0.777,0.744,-0.384,0.056999999999999995
21,530,1.068,-0.24,1.331,1.281,0.201,1.114,-0.226,1.28,1.182,0.131,0.07
22,531,1.184,0.526,1.078,0.939,-0.134,1.174,0.114,1.768,1.549,0.4,0.534
23,532,1.249,0.081,0.899,0.736,-0.377,1.185,0.175,1.88,1.633,0.462,0.839
24,533,1.168,0.08,1.047,0.92,-0.135,1.239,0.462,1.67,1.394,0.3,0.435
