,Subject,percept_low_dprime,percept_low_criterion,percept_low_metad,percept_low_mratio,percept_low_log_mratio,percept_high_dprime,percept_high_criterion,percept_high_metad,percept_high_mratio,percept_high_log_mratio,wm_high_dprime,wm_high_criterion,wm_high_metad,wm_high_mratio,wm_high_log_mratio,wm_low_dprime,wm_low_criterion,wm_low_metad,wm_low_mratio,wm_low_log_mratio,DGI_percept_low_percept_high,DGI_percept_low_wm_low,DGI_percept_low_wm_high,DGI_percept_high_wm_low,DGI_percept_high_wm_high,DGI_wm_low_wm_high
0,1,1.183,-0.195,0.954,0.83,-0.263,0.784,0.117,1.046,1.427,0.271,0.965,-0.018,0.361,0.4,-1.175,1.394,-0.029,0.544,0.401,-1.09,0.534,0.8270000000000001,0.912,1.3610000000000002,1.4460000000000002,0.08499999999999996
1,2,0.365,0.4,0.163,0.577,-0.899,0.223,0.25,0.114,0.744,-0.715,0.201,0.04,0.111,0.886,-0.604,0.255,0.164,0.198,0.946,-0.416,0.18400000000000005,0.48300000000000004,0.29500000000000004,0.299,0.11099999999999999,0.188
2,3,0.812,0.26,1.354,1.765,0.494,0.974,0.265,1.029,1.093,-0.019,1.204,0.053,0.662,0.569,-0.722,1.01,-0.181,0.699,0.729,-0.485,0.513,0.979,1.216,0.46599999999999997,0.703,0.237
3,4,2.505,0.156,1.405,0.567,-0.645,2.296,-0.028,1.982,0.872,-0.164,1.368,0.063,0.305,0.228,-1.74,1.243,0.029,0.59,0.489,-0.86,0.481,0.21499999999999997,1.095,0.696,1.576,0.88
4,5,0.862,0.142,0.598,0.726,-0.453,0.932,0.102,0.685,0.771,-0.384,1.138,0.045,0.445,0.401,-1.123,1.202,-0.057,0.528,0.451,-1.014,0.069,0.5609999999999999,0.6699999999999999,0.63,0.739,0.10899999999999999
5,6,1.503,-0.163,0.962,0.65,-0.502,1.889,-0.109,1.526,0.821,-0.244,1.607,0.133,0.957,0.608,-0.595,1.14,-0.04,1.177,1.075,0.0,0.258,0.502,0.09299999999999997,0.244,0.351,0.595
6,7,0.929,-0.205,0.622,0.69,-0.487,1.518,0.029,0.973,0.653,-0.503,1.053,0.249,0.291,0.291,-1.488,1.001,-0.121,0.549,0.572,-0.792,0.016000000000000014,0.30500000000000005,1.001,0.28900000000000003,0.985,0.696
7,8,1.116,-0.008,0.781,0.722,-0.431,0.849,0.034,0.464,0.571,-0.737,0.275,0.08,0.122,0.664,-0.925,0.433,-0.011,0.413,1.105,-0.162,0.306,0.269,0.49400000000000005,0.575,0.18800000000000006,0.763
8,9,1.857,0.057,1.155,0.629,-0.513,1.274,0.234,1.039,0.837,-0.236,1.362,-0.292,0.724,0.544,-0.719,1.255,-0.177,1.101,0.904,-0.168,0.277,0.345,0.20599999999999996,0.06799999999999998,0.483,0.5509999999999999
9,10,0.788,-0.144,0.988,1.327,0.193,1.66,-0.089,1.717,1.051,0.02,0.993,-0.025,0.996,1.055,-0.049,0.818,0.224,0.875,1.153,0.009,0.17300000000000001,0.184,0.242,0.011000000000000001,0.069,0.058
10,11,1.005,0.235,0.661,0.683,-0.531,1.345,0.483,0.456,0.347,-1.231,1.069,-0.054,0.691,0.68,-0.523,1.204,-0.084,1.164,1.001,-0.069,0.7000000000000001,0.462,0.008000000000000007,1.1620000000000001,0.7080000000000001,0.454
11,12,0.832,0.054,1.517,1.936,0.608,1.041,-0.096,0.585,0.584,-0.722,0.879,0.105,0.45,0.537,-0.803,1.095,0.017,0.77,0.733,-0.449,1.33,1.057,1.411,0.27299999999999996,0.08100000000000007,0.35400000000000004
12,13,1.114,0.102,0.907,0.843,-0.242,1.288,0.23,0.887,0.706,-0.422,1.202,-0.149,0.761,0.653,-0.543,1.2,-0.085,1.116,0.97,-0.114,0.18,0.128,0.30100000000000005,0.308,0.12100000000000005,0.42900000000000005
13,14,1.554,0.065,0.448,0.292,-1.398,1.487,-0.136,0.371,0.253,-1.589,1.666,-0.216,1.118,0.688,-0.448,1.312,-0.127,0.673,0.53,-0.798,0.19100000000000006,0.5999999999999999,0.95,0.7909999999999999,1.141,0.35000000000000003
14,15,1.483,0.01,0.366,0.251,-1.616,1.5,-0.093,0.69,0.467,-0.881,1.877,0.015,1.519,0.824,-0.27,1.57,0.025,0.593,0.387,-1.104,0.7350000000000001,0.512,1.346,0.2230000000000001,0.611,0.8340000000000001
